noise_bank_npy,condition,label,trial_id,mean_noise,sd_noise,rms_contrast
noise_bank/nb_equal_absent_001.npy,equal,absent,1,28.00183598929288,4.361166149585704,0.15574572150387897
noise_bank/nb_equal_present_001.npy,equal,present,1,28.0197927816957,4.370138067271405,0.1559661094326956
noise_bank/nb_equal_absent_002.npy,equal,absent,2,27.992714828632227,4.376584866673499,0.15634728155044572
noise_bank/nb_equal_present_002.npy,equal,present,2,27.98725826908217,4.38132635016409,0.15654717972157314
noise_bank/nb_equal_absent_003.npy,equal,absent,3,27.98900936247935,4.368871046904219,0.15609237863062442
noise_bank/nb_equal_present_003.npy,equal,present,3,27.993892293049374,4.375375246846346,0.15629749521943798
noise_bank/nb_equal_absent_004.npy,equal,absent,4,28.007741384473885,4.367181693114775,0.1559276641827222
noise_bank/nb_equal_present_004.npy,equal,present,4,27.996662277927705,4.391594653392848,0.15686136475115242
noise_bank/nb_equal_absent_005.npy,equal,absent,5,28.02123503226055,4.382542377150081,0.15640075721518007
noise_bank/nb_equal_present_005.npy,equal,present,5,28.0163770082131,4.377137544770854,0.15623496012663166
noise_bank/nb_equal_absent_006.npy,equal,absent,6,28.007739369156965,4.357620235754237,0.15558628914381395
noise_bank/nb_equal_present_006.npy,equal,present,6,27.997961729709772,4.374978585817365,0.1562606102563137
noise_bank/nb_equal_absent_007.npy,equal,absent,7,27.991426088242786,4.378925327033466,0.15643809333718592
noise_bank/nb_equal_present_007.npy,equal,present,7,27.993784744030716,4.368221623211905,0.1560425524149023
noise_bank/nb_equal_absent_008.npy,equal,absent,8,27.996775167605133,4.371443316160094,0.156140958735071
noise_bank/nb_equal_present_008.npy,equal,present,8,27.99857036386994,4.373779767968212,0.15621439634690235
noise_bank/nb_equal_absent_009.npy,equal,absent,9,28.005113112187818,4.3662218959220604,0.1559080257391241
noise_bank/nb_equal_present_009.npy,equal,present,9,28.001219746705292,4.384906746823677,0.15659699064858124
noise_bank/nb_equal_absent_010.npy,equal,absent,10,27.99423642542263,4.366429204083355,0.1559760065510497
noise_bank/nb_equal_present_010.npy,equal,present,10,28.006829043734857,4.379907244442344,0.15638711678508038
